year ,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
2019,Delhi Capitals,Royal Challengers Bangalore,187,171,Delhi Capitals,Bat,Capitals,16 runs,Shikhar Dhawan,Feroz Shah Kotla,Delhi
2019,Kolkata Knight Riders,Mumbai Indians,232,198,Mumbai Indians,Field,KKR,34 runs,Andre Russell,Eden Gardens,Kolkata
2019,Sunrisers Hyderabad,Kings XI Punjab,212,167,Kings XI Punjab,Field,Sunrisers,45 runs,David Warner,Rajiv Gandhi International Stadium,Uppal
2019,Royal Challengers Bangalore,Rajasthan Royals,,41,Rajasthan Royals,Field,No,No result,"20.00 start, First Session 20.00-21.30, Interval 21.30-21.50, Second Session 21.50- 23.20",M Chinnaswamy Stadium,Bangalore
2019,Chennai Super Kings,Delhi Capitals,179,99,Delhi Capitals,Field,Super,80 runs,MS Dhoni,MA Chidambaram Stadium,Chepauk
2019,Mumbai Indians,Sunrisers Hyderabad,162,162,Mumbai Indians,Bat,Tied,Tied,Jasprit Bumrah,Wankhede Stadium,Mumbai
2019,Kings XI Punjab,Kolkata Knight Riders,183,185,Kolkata Knight Riders,Field,KKR,7 wickets,Shubman Gill,Punjab Cricket Association IS Bindra Stadium,Mohali
2019,Rajasthan Royals,Delhi Capitals,115,121,Rajasthan Royals,Bat,Capitals,5 wickets,Amit Mishra,Feroz Shah Kotla,Delhi
2019,Sunrisers Hyderabad,Royal Challengers Bangalore,175,178,Royal Challengers Bangalore,Field,RCB,4 wickets,Shimron Hetmyer,M Chinnaswamy Stadium,Bangalore
2019,Chennai Super Kings,Kings XI Punjab,170,173,Kings XI Punjab,Field,Kings,6 wickets,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali
2019,Kolkata Knight Riders,Mumbai Indians,133,134,Mumbai Indians,Field,Mumbai,9 wickets,Hardik Pandya,Wankhede Stadium,Mumbai
2019,Chennai Super Kings,Mumbai Indians,131,132,Chennai Super Kings,Bat,Mumbai,6 wickets,Suryakumar Yadav,MA Chidambaram Stadium,Chepauk
2019,Sunrisers Hyderabad,Delhi Capitals,162,165,Delhi Capitals,Field,Capitals,2 wickets,Rishabh Pant,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam
2019,Delhi Capitals,Chennai Super Kings,147,151,Chennai Super Kings,Field,Super,6 wickets,Faf du Plessis,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam
2019,Mumbai Indians,Chennai Super Kings,149,148,Mumbai Indians,Bat,Mumbai,1 run,Jasprit Bumrah,Rajiv Gandhi International Stadium,Uppal
2018,Mumbai Indians,Chennai Super Kings,165,169,Chennai Super Kings,Field,Super,1 wicket,Dwayne Bravo,Wankhede Stadium,Mumbai
2018,Delhi Daredevils,Kings XI Punjab,166,167,Kings XI Punjab,Field,Kings,6 wickets,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali
2018,Royal Challengers Bangalore,Kolkata Knight Riders,176,177,Kolkata Knight Riders,Field,KKR,4 wickets,Sunil Narine,Eden Gardens,Kolkata
2018,Rajasthan Royals,Sunrisers Hyderabad,125,127,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Shikhar Dhawan,Rajiv Gandhi International Stadium,Uppal
2018,Kolkata Knight Riders,Chennai Super Kings,202,205,Chennai Super Kings,Field,Super,5 wickets,Sam Billings,MA Chidambaram Stadium,Chepauk
2018,Rajasthan Royals,Delhi Daredevils,,60,Delhi Daredevils,Field,Royals,10 runs,Sanju Samson,Sawai Mansingh Stadium,Jaipur
2018,Mumbai Indians,Sunrisers Hyderabad,147,151,Sunrisers Hyderabad,Field,Sunrisers,1 wicket,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
2018,Kings XI Punjab,Royal Challengers Bangalore,155,159,Royal Challengers Bangalore,Field,RCB,4 wickets,Umesh Yadav,M Chinnaswamy Stadium,Bengaluru
2018,Mumbai Indians,Delhi Daredevils,194,195,Delhi Daredevils,Field,Daredevils,7 wickets,Jason Roy,Wankhede Stadium,Mumbai
2018,Kolkata Knight Riders,Sunrisers Hyderabad,138,139,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Billy Stanlake,Eden Gardens,Kolkata
2018,Rajasthan Royals,Royal Challengers Bangalore,217,198,Royal Challengers Bangalore,Field,Royals,19 runs,Sanju Samson,M Chinnaswamy Stadium,Bengaluru
2018,Kings XI Punjab,Chennai Super Kings,197,193,Chennai Super Kings,Field,Kings,4 runs,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,Mohali
2018,Kolkata Knight Riders,Delhi Daredevils,200,129,Delhi Daredevils,Field,KKR,71 runs,Nitish Rana,Eden Gardens,Kolkata
2018,Mumbai Indians,Royal Challengers Bangalore,213,167,Royal Challengers Bangalore,Field,Mumbai,46 runs,Rohit Sharma,Wankhede Stadium,Mumbai
2018,Rajasthan Royals,Kolkata Knight Riders,160,163,Kolkata Knight Riders,Field,KKR,7 wickets,Nitish Rana,Sawai Mansingh Stadium,Jaipur
2018,Kings XI Punjab,Sunrisers Hyderabad,193,178,Kings XI Punjab,Bat,Kings,15 runs,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,Mohali
2018,Chennai Super Kings,Rajasthan Royals,204,140,Rajasthan Royals,Field,Super,64 runs,Shane Watson,Maharashtra Cricket Association Stadium,Pune
2018,Kolkata Knight Riders,Kings XI Punjab,191,126,Kings XI Punjab,Field,Kings,9 wickets,KL Rahul,Eden Gardens,Kolkata
2018,Delhi Daredevils,Royal Challengers Bangalore,174,176,Royal Challengers Bangalore,Field,RCB,6 wickets,AB de Villiers,M Chinnaswamy Stadium,Bengaluru
2018,Chennai Super Kings,Sunrisers Hyderabad,182,178,Sunrisers Hyderabad,Field,Super,4 runs,Ambati Rayudu,Rajiv Gandhi International Stadium,Uppal
2018,Mumbai Indians,Rajasthan Royals,167,168,Mumbai Indians,Bat,Royals,3 wickets,Jofra Archer,Sawai Mansingh Stadium,Jaipur
2018,Kings XI Punjab,Delhi Daredevils,143,139,Delhi Daredevils,Field,Kings,4 runs,Ankit Rajpoot,Feroz Shah Kotla,Delhi
2018,Sunrisers Hyderabad,Mumbai Indians,118,87,Mumbai Indians,Field,Sunrisers,31 runs,Rashid Khan,Wankhede Stadium,Mumbai
2018,Royal Challengers Bangalore,Chennai Super Kings,205,207,Chennai Super Kings,Field,Super,5 wickets,MS Dhoni,M Chinnaswamy Stadium,Bengaluru
2018,Sunrisers Hyderabad,Kings XI Punjab,132,119,Kings XI Punjab,Field,Sunrisers,13 runs,Ankit Rajpoot,Rajiv Gandhi International Stadium,Uppal
2018,Delhi Daredevils,Kolkata Knight Riders,219,164,Kolkata Knight Riders,Field,Daredevils,55 runs,Shreyas Iyer,Feroz Shah Kotla,Delhi
2018,Chennai Super Kings,Mumbai Indians,169,170,Mumbai Indians,Field,Mumbai,8 wickets,Rohit Sharma,Maharashtra Cricket Association Stadium,Pune
2018,Sunrisers Hyderabad,Rajasthan Royals,151,140,Sunrisers Hyderabad,Bat,Sunrisers,11 runs,Kane Williamson,Sawai Mansingh Stadium,Jaipur
2018,Royal Challengers Bangalore,Kolkata Knight Riders,175,176,Kolkata Knight Riders,Field,KKR,6 wickets,Chris Lynn,M Chinnaswamy Stadium,Bengaluru
2018,Chennai Super Kings,Delhi Daredevils,211,198,Delhi Daredevils,Field,Super,13 runs,Shane Watson,Maharashtra Cricket Association Stadium,Pune
2018,Royal Challengers Bangalore,Mumbai Indians,167,153,Mumbai Indians,Field,RCB,14 runs,Tim Southee,M Chinnaswamy Stadium,Bengaluru
2018,Delhi Daredevils,Rajasthan Royals,,146,Rajasthan Royals,Field,Daredevils,4 runs,Rishabh Pant,Feroz Shah Kotla,Delhi
2018,Chennai Super Kings,Kolkata Knight Riders,177,180,Kolkata Knight Riders,Field,KKR,6 wickets,Sunil Narine,Eden Gardens,Kolkata
2018,Kings XI Punjab,Mumbai Indians,174,176,Mumbai Indians,Field,Mumbai,6 wickets,Suryakumar Yadav,Holkar Cricket Stadium,Indore
2018,Royal Challengers Bangalore,Chennai Super Kings,127,128,Chennai Super Kings,Field,Super,6 wickets,Ravindra Jadeja,Maharashtra Cricket Association Stadium,Pune
2018,Delhi Daredevils,Sunrisers Hyderabad,163,164,Delhi Daredevils,Bat,Sunrisers,7 wickets,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
2018,Mumbai Indians,Kolkata Knight Riders,181,168,Kolkata Knight Riders,Field,Mumbai,13 runs,Hardik Pandya,Wankhede Stadium,Mumbai
2018,Rajasthan Royals,Kings XI Punjab,152,155,Kings XI Punjab,Field,Kings,6 wickets,Mujeeb Ur Rahman,Holkar Cricket Stadium,Indore
2018,Sunrisers Hyderabad,Royal Challengers Bangalore,146,141,Royal Challengers Bangalore,Field,Sunrisers,5 runs,Kane Williamson,Rajiv Gandhi International Stadium,Uppal
2018,Rajasthan Royals,Kings XI Punjab,158,143,Rajasthan Royals,Bat,Royals,15 runs,Jos Buttler,Sawai Mansingh Stadium,Jaipur
2018,Mumbai Indians,Kolkata Knight Riders,210,108,Kolkata Knight Riders,Field,Mumbai,102 runs,Ishan Kishan,Eden Gardens,Kolkata
2018,Delhi Daredevils,Sunrisers Hyderabad,187,191,Delhi Daredevils,Bat,Sunrisers,9 wickets,Shikhar Dhawan,Feroz Shah Kotla,Delhi
2018,Chennai Super Kings,Rajasthan Royals,176,177,Chennai Super Kings,Bat,Royals,4 wickets,Jos Buttler,Sawai Mansingh Stadium,Jaipur
2018,Kolkata Knight Riders,Kings XI Punjab,245,214,Kings XI Punjab,Field,KKR,31 runs,Sunil Narine,Holkar Cricket Stadium,Indore
2018,Delhi Daredevils,Royal Challengers Bangalore,181,187,Royal Challengers Bangalore,Field,RCB,5 wickets,AB de Villiers,Feroz Shah Kotla,Delhi
2018,Sunrisers Hyderabad,Chennai Super Kings,179,180,Chennai Super Kings,Field,Super,8 wickets,Ambati Rayudu,Maharashtra Cricket Association Stadium,Pune
2018,Mumbai Indians,Rajasthan Royals,168,171,Rajasthan Royals,Field,Royals,7 wickets,Jos Buttler,Wankhede Stadium,Mumbai
2018,Kings XI Punjab,Royal Challengers Bangalore,88,92,Royal Challengers Bangalore,Field,RCB,10 wickets,Umesh Yadav,Holkar Cricket Stadium,Indore
2018,Rajasthan Royals,Kolkata Knight Riders,142,145,Kolkata Knight Riders,Field,KKR,6 wickets,Kuldeep Yadav,Eden Gardens,Kolkata
2018,Mumbai Indians,Kings XI Punjab,186,183,Kings XI Punjab,Field,Mumbai,3 runs,Jasprit Bumrah,Wankhede Stadium,Mumbai
2018,Royal Challengers Bangalore,Sunrisers Hyderabad,218,204,Sunrisers Hyderabad,Field,RCB,14 runs,AB de Villiers,M Chinnaswamy Stadium,Bengaluru
2018,Delhi Daredevils,Chennai Super Kings,162,128,Chennai Super Kings,Field,Daredevils,34 runs,Harshal Patel,Feroz Shah Kotla,Delhi
2018,Rajasthan Royals,Royal Challengers Bangalore,164,134,Rajasthan Royals,Bat,Royals,30 runs,Shreyas Gopal,Sawai Mansingh Stadium,Jaipur
2018,Sunrisers Hyderabad,Kolkata Knight Riders,172,173,Sunrisers Hyderabad,Bat,KKR,5 wickets,Chris Lynn,Rajiv Gandhi International Stadium,Uppal
2018,Delhi Daredevils,Mumbai Indians,174,163,Delhi Daredevils,Bat,Daredevils,11 runs,Amit Mishra,Feroz Shah Kotla,Delhi
2018,Kings XI Punjab,Chennai Super Kings,153,159,Chennai Super Kings,Field,Super,5 wickets,Lungi Ngidi,Maharashtra Cricket Association Stadium,Pune
2018,Sunrisers Hyderabad,Chennai Super Kings,139,140,Chennai Super Kings,Field,Super,2 wickets,Faf du Plessis,Wankhede Stadium,Mumbai
2018,Kolkata Knight Riders,Rajasthan Royals,169,144,Rajasthan Royals,Field,KKR,25 runs,Andre Russell,Eden Gardens,Kolkata
2018,Sunrisers Hyderabad,Kolkata Knight Riders,174,160,Kolkata Knight Riders,Field,Sunrisers,14 runs,Rashid Khan,Eden Gardens,Kolkata
2018,Sunrisers Hyderabad,Chennai Super Kings,178,181,Chennai Super Kings,Field,Super,8 wickets,Shane Watson,Wankhede Stadium,Mumbai
2017,Sunrisers Hyderabad,Royal Challengers Bangalore,207,172,Royal Challengers Bangalore,Field,Sunrisers,35 runs,Yuvraj Singh,Rajiv Gandhi International Stadium,Uppal
2017,Mumbai Indians,Rising Pune Supergiant,184,187,Rising Pune Supergiant,Field,Supergiant,7 wickets,Steven Smith,Maharashtra Cricket Association Stadium,Pune
2017,Gujarat Lions,Kolkata Knight Riders,183,184,Kolkata Knight Riders,Field,KKR,10 wickets,Chris Lynn,Saurashtra Cricket Association Stadium,Rajkot
2017,Rising Pune Supergiant,Kings XI Punjab,163,164,Kings XI Punjab,Field,Kings,6 wickets,Glenn Maxwell,Holkar Cricket Stadium,Indore
2017,Royal Challengers Bangalore,Delhi Daredevils,157,142,Royal Challengers Bangalore,Bat,RCB,15 runs,Kedar Jadhav,M Chinnaswamy Stadium,Bangalore
2017,Gujarat Lions,Sunrisers Hyderabad,135,140,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
2017,Kolkata Knight Riders,Mumbai Indians,178,180,Mumbai Indians,Field,Mumbai,4 wickets,Nitish Rana,Wankhede Stadium,Mumbai
2017,Royal Challengers Bangalore,Kings XI Punjab,148,150,Royal Challengers Bangalore,Bat,Kings,8 wickets,Axar Patel,Holkar Cricket Stadium,Indore
2017,Delhi Daredevils,Rising Pune Supergiant,205,108,Rising Pune Supergiant,Field,Daredevils,97 runs,Sanju Samson,Maharashtra Cricket Association Stadium,Pune
2017,Sunrisers Hyderabad,Mumbai Indians,158,159,Mumbai Indians,Field,Mumbai,4 wickets,Jasprit Bumrah,Wankhede Stadium,Mumbai
2017,Kings XI Punjab,Kolkata Knight Riders,170,171,Kolkata Knight Riders,Field,KKR,8 wickets,Sunil Narine,Eden Gardens,Kolkata
2017,Royal Challengers Bangalore,Mumbai Indians,142,145,Mumbai Indians,Field,Mumbai,4 wickets,Kieron Pollard,M Chinnaswamy Stadium,Bangalore
2017,Rising Pune Supergiant,Gujarat Lions,171,172,Gujarat Lions,Field,Guj,7 wickets,Andrew Tye,Saurashtra Cricket Association Stadium,Rajkot
2017,Kolkata Knight Riders,Sunrisers Hyderabad,172,155,Sunrisers Hyderabad,Field,KKR,17 runs,Robin Uthappa,Eden Gardens,Kolkata
2017,Delhi Daredevils,Kings XI Punjab,188,137,Delhi Daredevils,Bat,Daredevils,51 runs,Corey Anderson,Feroz Shah Kotla,Delhi
2017,Gujarat Lions,Mumbai Indians,176,177,Mumbai Indians,Field,Mumbai,6 wickets,Nitish Rana,Wankhede Stadium,Mumbai
2017,Rising Pune Supergiant,Royal Challengers Bangalore,161,134,Royal Challengers Bangalore,Field,Supergiant,27 runs,Ben Stokes,M Chinnaswamy Stadium,Bangalore
2017,Delhi Daredevils,Kolkata Knight Riders,168,169,Delhi Daredevils,Bat,KKR,4 wickets,Nathan Coulter-Nile,Feroz Shah Kotla,Delhi
2017,Sunrisers Hyderabad,Kings XI Punjab,159,154,Kings XI Punjab,Field,Sunrisers,5 runs,Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,Uppal
2017,Royal Challengers Bangalore,Gujarat Lions,213,192,Gujarat Lions,Field,RCB,21 runs,Chris Gayle,Saurashtra Cricket Association Stadium,Rajkot
2017,Sunrisers Hyderabad,Delhi Daredevils,191,176,Sunrisers Hyderabad,Bat,Sunrisers,15 runs,Kane Williamson,Rajiv Gandhi International Stadium,Uppal
2017,Kings XI Punjab,Mumbai Indians,198,199,Mumbai Indians,Field,Mumbai,8 wickets,Jos Buttler,Holkar Cricket Stadium,Indore
2017,Kolkata Knight Riders,Gujarat Lions,187,188,Gujarat Lions,Field,Guj,4 wickets,Suresh Raina,Eden Gardens,Kolkata
2017,Sunrisers Hyderabad,Rising Pune Supergiant,176,179,Rising Pune Supergiant,Field,Supergiant,6 wickets,MS Dhoni,Maharashtra Cricket Association Stadium,Pune
2017,Mumbai Indians,Delhi Daredevils,142,128,Delhi Daredevils,Field,Mumbai,14 runs,Mitchell McClenaghan,Wankhede Stadium,Mumbai
2017,Kings XI Punjab,Gujarat Lions,188,162,Gujarat Lions,Field,Kings,26 runs,Hashim Amla,Saurashtra Cricket Association Stadium,Rajkot
2017,Kolkata Knight Riders,Royal Challengers Bangalore,131,49,Royal Challengers Bangalore,Field,KKR,82 runs,Nathan Coulter-Nile,Eden Gardens,Kolkata
2017,Rising Pune Supergiant,Mumbai Indians,160,157,Mumbai Indians,Field,Supergiant,3 runs,Ben Stokes,Wankhede Stadium,Mumbai
2017,Royal Challengers Bangalore,,,,,No Toss,Match,Match abandoned without a ball bowled,,,
2017,Rising Pune Supergiant,Kolkata Knight Riders,182,184,Kolkata Knight Riders,Field,KKR,7 wickets,Robin Uthappa,Maharashtra Cricket Association Stadium,Pune
2017,Royal Challengers Bangalore,Gujarat Lions,134,135,Gujarat Lions,Field,Guj,7 wickets,Andrew Tye,M Chinnaswamy Stadium,Bangalore
2017,Delhi Daredevils,Kolkata Knight Riders,160,161,Kolkata Knight Riders,Field,KKR,7 wickets,Gautam Gambhir,Eden Gardens,Kolkata
2017,Sunrisers Hyderabad,Kings XI Punjab,207,181,Kings XI Punjab,Field,Sunrisers,26 runs,Rashid Khan,Punjab Cricket Association IS Bindra Stadium,Mohali
2017,Rising Pune Supergiant,Royal Challengers Bangalore,157,96,Royal Challengers Bangalore,Field,Supergiant,61 runs,Lockie Ferguson,Maharashtra Cricket Association Stadium,Pune
2017,Gujarat Lions,Mumbai Indians,153,153,Gujarat Lions,Bat,Tied,Tied,Krunal Pandya,Saurashtra Cricket Association Stadium,Rajkot
2017,Delhi Daredevils,Kings XI Punjab,67,68,Kings XI Punjab,Field,Kings,10 wickets,Sandeep Sharma,Punjab Cricket Association IS Bindra Stadium,Mohali
2017,Sunrisers Hyderabad,Kolkata Knight Riders,209,161,Kolkata Knight Riders,Field,Sunrisers,48 runs,David Warner,Rajiv Gandhi International Stadium,Uppal
2017,Royal Challengers Bangalore,Mumbai Indians,162,165,Royal Challengers Bangalore,Bat,Mumbai,5 wickets,Rohit Sharma,Wankhede Stadium,Mumbai
2017,Gujarat Lions,Rising Pune Supergiant,161,167,Rising Pune Supergiant,Field,Supergiant,5 wickets,Ben Stokes,Maharashtra Cricket Association Stadium,Pune
2017,Sunrisers Hyderabad,Delhi Daredevils,185,189,Delhi Daredevils,Field,Daredevils,6 wickets,Mohammed Shami,Feroz Shah Kotla,Delhi
2017,Kolkata Knight Riders,Rising Pune Supergiant,155,158,Rising Pune Supergiant,Field,Supergiant,4 wickets,Rahul Tripathi,Eden Gardens,Kolkata
2017,Gujarat Lions,Delhi Daredevils,208,214,Delhi Daredevils,Field,Daredevils,7 wickets,Rishabh Pant,Feroz Shah Kotla,Delhi
2017,Kings XI Punjab,Royal Challengers Bangalore,138,119,Royal Challengers Bangalore,Field,Kings,19 runs,Sandeep Sharma,M Chinnaswamy Stadium,Bangalore
2017,Rising Pune Supergiant,Sunrisers Hyderabad,148,136,Sunrisers Hyderabad,Field,Supergiant,12 runs,Jaydev Unadkat,Rajiv Gandhi International Stadium,Uppal
2017,Mumbai Indians,Delhi Daredevils,212,66,Delhi Daredevils,Field,Mumbai,146 runs,Lendl Simmons,Feroz Shah Kotla,Delhi
2017,Royal Challengers Bangalore,Kolkata Knight Riders,158,159,Kolkata Knight Riders,Field,KKR,6 wickets,Sunil Narine,M Chinnaswamy Stadium,Bangalore
2017,Kings XI Punjab,Gujarat Lions,189,192,Gujarat Lions,Field,Guj,6 wickets,Dwayne Smith,Punjab Cricket Association IS Bindra Stadium,Mohali
2017,Mumbai Indians,Sunrisers Hyderabad,138,140,Mumbai Indians,Bat,Sunrisers,7 wickets,Shikhar Dhawan,Rajiv Gandhi International Stadium,Uppal
2017,Kings XI Punjab,Kolkata Knight Riders,167,153,Kolkata Knight Riders,Field,Kings,14 runs,Mohit Sharma,Punjab Cricket Association IS Bindra Stadium,Mohali
2017,Gujarat Lions,Delhi Daredevils,195,197,Delhi Daredevils,Field,Daredevils,2 wickets,Shreyas Iyer,Green Park,Kanpur
2017,Kings XI Punjab,Mumbai Indians,230,223,Mumbai Indians,Field,Kings,7 runs,Wriddhiman Saha,Wankhede Stadium,Mumbai
2017,Delhi Daredevils,Rising Pune Supergiant,168,161,Delhi Daredevils,Bat,Daredevils,7 runs,Karun Nair,Feroz Shah Kotla,Delhi
2017,Gujarat Lions,Sunrisers Hyderabad,154,158,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Mohammed Siraj,Green Park,Kanpur
2017,Mumbai Indians,Kolkata Knight Riders,173,164,Kolkata Knight Riders,Field,Mumbai,9 runs,Ambati Rayudu,Eden Gardens,Kolkata
2017,Kings XI Punjab,Rising Pune Supergiant,73,78,Rising Pune Supergiant,Field,Supergiant,9 wickets,Jaydev Unadkat,Maharashtra Cricket Association Stadium,Pune
2017,Royal Challengers Bangalore,Delhi Daredevils,161,151,Royal Challengers Bangalore,Bat,RCB,10 runs,Harshal Patel,Feroz Shah Kotla,Delhi
2017,Rising Pune Supergiant,Mumbai Indians,162,142,Mumbai Indians,Field,Supergiant,20 runs,Washington Sundar,Wankhede Stadium,Mumbai
2017,Sunrisers Hyderabad,Kolkata Knight Riders,128,48,Kolkata Knight Riders,Field,KKR,7 wickets,Nathan Coulter-Nile,M Chinnaswamy Stadium,Bangalore
2017,Kolkata Knight Riders,Mumbai Indians,107,111,Mumbai Indians,Field,Mumbai,6 wickets,Karn Sharma,M Chinnaswamy Stadium,Bangalore
2017,Mumbai Indians,Rising Pune Supergiant,129,128,Mumbai Indians,Bat,Mumbai,1 run,Krunal Pandya,Rajiv Gandhi International Stadium,Uppal
2016,Mumbai Indians,Rising Pune Supergiants,121,126,Mumbai Indians,Bat,Supergiants,9 wickets,Ajinkya Rahane,Wankhede Stadium,Mumbai
2016,Delhi Daredevils,Kolkata Knight Riders,98,99,Kolkata Knight Riders,Field,KKR,9 wickets,Andre Russell,Eden Gardens,Kolkata
2016,Kings XI Punjab,Gujarat Lions,161,162,Gujarat Lions,Field,Guj,5 wickets,Aaron Finch,Punjab Cricket Association IS Bindra Stadium,Mohali
2016,Royal Challengers Bangalore,Sunrisers Hyderabad,227,182,Sunrisers Hyderabad,Field,RCB,45 runs,AB de Villiers,M Chinnaswamy Stadium,Bangalore
2016,Kolkata Knight Riders,Mumbai Indians,187,188,Mumbai Indians,Field,Mumbai,6 wickets,Rohit Sharma,Eden Gardens,Kolkata
2016,Rising Pune Supergiants,Gujarat Lions,163,164,Rising Pune Supergiants,Bat,Guj,7 wickets,Aaron Finch,Saurashtra Cricket Association Stadium,Rajkot
2016,Kings XI Punjab,Delhi Daredevils,111,113,Delhi Daredevils,Field,Daredevils,8 wickets,Amit Mishra,Feroz Shah Kotla,Delhi
2016,Sunrisers Hyderabad,Kolkata Knight Riders,142,146,Sunrisers Hyderabad,Bat,KKR,8 wickets,Gautam Gambhir,Rajiv Gandhi International Stadium,Uppal
2016,Mumbai Indians,Gujarat Lions,143,147,Gujarat Lions,Field,Guj,3 wickets,Aaron Finch,Wankhede Stadium,Mumbai
2016,Rising Pune Supergiants,Kings XI Punjab,152,153,Rising Pune Supergiants,Bat,Kings,6 wickets,Manan Vohra,Punjab Cricket Association IS Bindra Stadium,Mohali
2016,Royal Challengers Bangalore,Delhi Daredevils,191,192,Delhi Daredevils,Field,Daredevils,7 wickets,Quinton de Kock,M Chinnaswamy Stadium,Bangalore
2016,Mumbai Indians,Sunrisers Hyderabad,142,145,Sunrisers Hyderabad,Field,Sunrisers,7 wickets,David Warner,Rajiv Gandhi International Stadium,Uppal
2016,Kings XI Punjab,Kolkata Knight Riders,138,141,Kolkata Knight Riders,Field,KKR,6 wickets,Robin Uthappa,Punjab Cricket Association IS Bindra Stadium,Mohali
2016,Royal Challengers Bangalore,Mumbai Indians,170,171,Mumbai Indians,Field,Mumbai,6 wickets,Rohit Sharma,Wankhede Stadium,Mumbai
2016,Gujarat Lions,Sunrisers Hyderabad,135,137,Sunrisers Hyderabad,Field,Sunrisers,10 wickets,Bhuvneshwar Kumar,Saurashtra Cricket Association Stadium,Rajkot
2016,Royal Challengers Bangalore,Rising Pune Supergiants,185,172,Rising Pune Supergiants,Field,RCB,13 runs,AB de Villiers,Maharashtra Cricket Association Stadium,Pune
2016,Delhi Daredevils,Mumbai Indians,164,154,Mumbai Indians,Field,Daredevils,10 runs,Sanju Samson,Feroz Shah Kotla,Delhi
2016,Kings XI Punjab,Sunrisers Hyderabad,143,146,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Mustafizur Rahman,Rajiv Gandhi International Stadium,Uppal
2016,Royal Challengers Bangalore,Gujarat Lions,180,182,Royal Challengers Bangalore,Bat,Guj,6 wickets,Virat Kohli,Saurashtra Cricket Association Stadium,Rajkot
2016,Rising Pune Supergiants,Kolkata Knight Riders,160,162,Kolkata Knight Riders,Field,KKR,2 wickets,Suryakumar Yadav,Maharashtra Cricket Association Stadium,Pune
2016,Mumbai Indians,Kings XI Punjab,189,164,Kings XI Punjab,Field,Mumbai,25 runs,Parthiv Patel,Punjab Cricket Association IS Bindra Stadium,Mohali
2016,Sunrisers Hyderabad,Rising Pune Supergiants,118,94,Rising Pune Supergiants,Field,Supergiants,34 runs,Ashok Dinda,Rajiv Gandhi International Stadium,Uppal
2016,Gujarat Lions,Delhi Daredevils,172,171,Delhi Daredevils,Field,Guj,1 run,Chris Morris,Feroz Shah Kotla,Delhi
2016,Kolkata Knight Riders,Mumbai Indians,174,178,Mumbai Indians,Field,Mumbai,6 wickets,Rohit Sharma,Wankhede Stadium,Mumbai
2016,Rising Pune Supergiants,Gujarat Lions,195,196,Gujarat Lions,Field,Guj,3 wickets,Dwayne Smith,Maharashtra Cricket Association Stadium,Pune
2016,Delhi Daredevils,Kolkata Knight Riders,186,159,Kolkata Knight Riders,Field,Daredevils,27 runs,Carlos Brathwaite,Feroz Shah Kotla,Delhi
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,194,179,Royal Challengers Bangalore,Field,Sunrisers,15 runs,David Warner,Rajiv Gandhi International Stadium,Uppal
2016,Kings XI Punjab,Gujarat Lions,154,131,Gujarat Lions,Field,Kings,23 runs,Axar Patel,Saurashtra Cricket Association Stadium,Rajkot
2016,Rising Pune Supergiants,Mumbai Indians,159,161,Mumbai Indians,Field,Mumbai,8 wickets,Rohit Sharma,Maharashtra Cricket Association Stadium,Pune
2016,Royal Challengers Bangalore,Kolkata Knight Riders,185,189,Kolkata Knight Riders,Field,KKR,5 wickets,Andre Russell,M Chinnaswamy Stadium,Bangalore
2016,Gujarat Lions,Delhi Daredevils,149,150,Delhi Daredevils,Field,Daredevils,8 wickets,Rishabh Pant,Saurashtra Cricket Association Stadium,Rajkot
2016,Kolkata Knight Riders,Kings XI Punjab,164,157,Kings XI Punjab,Field,KKR,7 runs,Andre Russell,Eden Gardens,Kolkata
2016,Delhi Daredevils,Rising Pune Supergiants,162,166,Rising Pune Supergiants,Field,Supergiants,7 wickets,Ajinkya Rahane,Feroz Shah Kotla,Delhi
2016,Gujarat Lions,Sunrisers Hyderabad,126,129,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,Uppal
2016,Rising Pune Supergiants,Royal Challengers Bangalore,191,195,Royal Challengers Bangalore,Field,RCB,7 wickets,Virat Kohli,M Chinnaswamy Stadium,Bangalore
2016,Kings XI Punjab,Delhi Daredevils,181,172,Delhi Daredevils,Field,Kings,9 runs,Marcus Stoinis,Punjab Cricket Association IS Bindra Stadium,Mohali
