year ,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
2021,Rajasthan Royals,Sunrisers Hyderabad,164,167,Rajasthan Royals,Bat,Sunrisers,7 wickets,Jason Roy,Dubai International Cricket Stadium,
2021,Delhi Capitals,Kolkata Knight Riders,127,130,Kolkata Knight Riders,Field,KKR,3 wickets,Sunil Narine,Sharjah Cricket Stadium,
2021,Punjab Kings,Mumbai Indians,135,137,Mumbai Indians,Field,Mumbai,6 wickets,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi
2021,Rajasthan Royals,Royal Challengers Bangalore,149,153,Royal Challengers Bangalore,Field,RCB,7 wickets,Yuzvendra Chahal,Dubai International Cricket Stadium,
2021,Sunrisers Hyderabad,Chennai Super Kings,134,139,Chennai Super Kings,Field,Super,6 wickets,Josh Hazlewood,Sharjah Cricket Stadium,
2021,Kolkata Knight Riders,Punjab Kings,165,168,Punjab Kings,Field,Punjab,5 wickets,KL Rahul,Dubai International Cricket Stadium,
2021,Mumbai Indians,Delhi Capitals,129,132,Delhi Capitals,Field,Capitals,4 wickets,Axar Patel,Sharjah Cricket Stadium,
2021,Chennai Super Kings,Rajasthan Royals,189,190,Rajasthan Royals,Field,Royals,7 wickets,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi
2021,Royal Challengers Bangalore,Punjab Kings,164,158,Royal Challengers Bangalore,Bat,RCB,6 runs,Glenn Maxwell,Sharjah Cricket Stadium,
2021,Sunrisers Hyderabad,Kolkata Knight Riders,115,119,Sunrisers Hyderabad,Bat,KKR,6 wickets,Shubman Gill,Dubai International Cricket Stadium,
2021,Chennai Super Kings,Delhi Capitals,136,139,Delhi Capitals,Field,Capitals,3 wickets,Axar Patel,Dubai International Cricket Stadium,
2021,Rajasthan Royals,Mumbai Indians,90,94,Mumbai Indians,Field,Mumbai,8 wickets,Nathan Coulter-Nile,Sharjah Cricket Stadium,
2021,Sunrisers Hyderabad,Royal Challengers Bangalore,141,137,Royal Challengers Bangalore,Field,Sunrisers,4 runs,Kane Williamson,Zayed Cricket Stadium,Abu Dhabi
2021,Chennai Super Kings,Punjab Kings,134,139,Punjab Kings,Field,Punjab,6 wickets,KL Rahul,Dubai International Cricket Stadium,
2021,Kolkata Knight Riders,Rajasthan Royals,171,85,Rajasthan Royals,Field,KKR,86 runs,Shivam Mavi,Sharjah Cricket Stadium,
